6061361,CHAPLEAU       ,ON, station joined    , Monthly mean of homogenized daily minimum temperature                  , Deg Celcius,          Updated to December 2017
6061361,CHAPLEAU       ,ON, station jointe    , Moyenne mensuelle des temperatures quotidiennes minimales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.9, ,    11.6, ,     3.3, , -9999.9,M,    -6.5, ,   -10.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1914,   -18.5, ,   -26.8, ,   -16.1, ,    -8.5, ,     2.3, ,     6.2, ,    10.2, ,     7.8, , -9999.9,M,     0.3, ,   -11.3, , -9999.9,M, -9999.9,M,   -18.6, ,    -7.4, ,     8.1, , -9999.9,M
 1915, -9999.9,M, -9999.9,M,   -15.5, ,    -0.6, ,     0.9, ,     5.8, ,     7.4, ,     8.3, ,     5.6, ,     1.2, ,    -5.3, ,   -16.4, , -9999.9,M, -9999.9,M,    -5.1, ,     7.2, ,     0.5, 
 1916, -9999.9,M, -9999.9,M,   -17.7, ,    -2.5, ,     0.6, ,     6.7, ,    12.9, ,     9.2, ,     4.1, ,    -1.9, ,    -6.5, ,   -18.6, , -9999.9,M, -9999.9,M,    -6.5, ,     9.6, ,    -1.4, 
 1917,   -23.5, ,   -26.2, ,   -17.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     0.3, ,    -2.3, ,    -3.6, ,    -9.9, ,   -27.3, , -9999.9,M,   -22.8, , -9999.9,M, -9999.9,M,    -5.3, 
 1918,   -25.5, ,   -29.1, ,   -18.2, ,    -6.5, ,     2.4, ,     4.5, ,     8.4, ,     4.0, ,     0.3, , -9999.9,M,    -5.9, ,   -14.5, , -9999.9,M,   -27.3, ,    -7.4, ,     5.6, , -9999.9,M
 1919,   -16.8, ,   -15.7, ,    -9.4, ,    -0.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.4, ,    -8.6, , -9999.9,M, -9999.9,M,   -15.7, , -9999.9,M, -9999.9,M, -9999.9,M
 1920,   -25.7, ,   -19.9, ,   -14.5, ,    -5.9, ,     0.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.6, , -9999.9,M, -9999.9,M
 1921, -9999.9,M,   -19.7, ,    -7.4, , -9999.9,M, -9999.9,M,     9.0, ,    12.7, ,     6.3, , -9999.9,M, -9999.9,M,    -9.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.3, , -9999.9,M
 1922, -9999.9,M, -9999.9,M,   -15.0, ,    -4.6, ,     5.7, ,     7.4, ,     9.2, ,     8.1, ,     5.9, ,    -3.5, ,    -5.9, ,   -23.3, , -9999.9,M, -9999.9,M,    -4.6, ,     8.2, ,    -1.2, 
 1923,   -26.9, ,   -28.8, ,   -24.7, ,   -10.4, ,     0.9, ,     9.0, ,     8.8, ,     7.0, ,     2.2, ,    -0.8, ,    -5.8, ,   -10.8, ,    -6.7, ,   -26.3, ,   -11.4, ,     8.3, ,    -1.5, 
 1924,   -28.5, ,   -25.1, ,   -13.6, ,    -6.2, ,    -0.3, ,     5.2, ,     8.4, ,     8.8, ,     3.4, ,     0.4, ,    -9.1, ,   -24.5, ,    -6.8, ,   -21.5, ,    -6.7, ,     7.5, ,    -1.8, 
 1925,   -25.8, ,   -21.5, , -9999.9,M,    -3.6, ,    -0.2, ,     8.4, ,     9.6, ,     9.8, ,     4.3, ,    -4.2, ,    -8.3, ,   -16.0, , -9999.9,M,   -23.9, , -9999.9,M,     9.3, ,    -2.7, 
 1926,   -19.4, ,   -21.1, ,   -18.7, ,   -10.9, ,    -0.4, ,     5.3, ,     9.1, ,     9.1, ,     4.0, ,    -1.0, ,   -10.9, ,   -17.3, ,    -6.0, ,   -18.8, ,   -10.0, ,     7.8, ,    -2.6, 
 1927, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1928,   -21.3, ,   -23.1, ,   -15.3, ,    -9.6, ,     2.2, ,     5.6, ,    10.8, ,     9.4, ,     2.6, ,    -0.2, ,    -7.4, ,   -10.9, ,    -4.8, , -9999.9,M,    -7.6, ,     8.6, ,    -1.7, 
 1929,   -27.2, ,   -25.2, ,   -11.6, ,    -4.9, ,    -0.2, ,     5.4, ,     9.4, ,     7.6, ,     4.4, ,    -1.2, ,    -9.4, ,   -20.2, ,    -6.1, ,   -21.1, ,    -5.6, ,     7.5, ,    -2.1, 
 1930,   -24.1, ,   -20.7, ,   -16.0, ,    -6.2, ,     2.5, ,     9.5, ,    10.2, ,    10.4, ,     4.8, ,     0.8, ,    -4.9, ,   -13.9, ,    -4.0, ,   -21.7, ,    -6.6, ,    10.0, ,     0.2, 
 1931,   -19.6, ,   -17.1, ,   -12.7, ,    -5.7, ,     2.4, ,     9.8, ,    12.5, ,     8.3, ,     7.9, ,     2.9, ,    -3.4, ,   -12.7, ,    -2.3, ,   -16.9, ,    -5.3, ,    10.2, ,     2.5, 
 1932,   -14.2, ,   -19.7, ,   -18.2, ,    -7.6, ,     2.8, ,     7.5, ,     9.1, ,     7.5, ,     4.9, ,    -1.8, ,   -10.7, ,   -16.3, ,    -4.7, ,   -15.5, ,    -7.7, ,     8.0, ,    -2.5, 
 1933,   -19.1, ,   -20.6, ,   -16.0, ,    -4.6, ,     2.7, ,    10.8, ,    10.9, ,     8.3, ,     5.2, ,    -1.1, ,   -15.9, ,   -23.6, ,    -5.3, ,   -18.7, ,    -6.0, ,    10.0, ,    -3.9, 
 1934,   -18.2, ,   -30.6, ,   -17.6, ,    -6.7, ,     1.3, ,     8.3, ,    10.0, ,     6.1, ,     6.1, ,    -1.0, ,    -4.1, ,   -20.8, ,    -5.6, ,   -24.1, ,    -7.7, ,     8.1, ,     0.3, 
 1935,   -26.2, ,   -20.0, ,   -14.2, ,    -7.5, ,    -0.1, ,     6.2, ,    12.0, ,     8.5, ,     3.3, ,    -0.3, ,   -10.7, ,   -18.1, ,    -5.6, ,   -22.3, ,    -7.3, ,     8.9, ,    -2.6, 
 1936,   -24.0, ,   -25.0, ,   -12.7, ,    -7.3, ,     1.3, ,     4.4, ,    10.9, ,     8.4, ,     5.3, ,    -4.0, ,   -14.8, ,   -15.6, ,    -6.1, ,   -22.4, ,    -6.2, ,     7.9, ,    -4.5, 
 1937,   -22.3, ,   -17.9, ,   -16.7, ,    -3.5, ,     2.4, ,     6.9, ,    10.3, ,    10.8, ,     3.8, ,    -1.2, ,    -6.8, ,   -18.9, ,    -4.4, ,   -18.6, ,    -5.9, ,     9.3, ,    -1.4, 
 1938,   -24.4, ,   -22.3, ,   -13.5, ,    -5.2, ,     3.0, ,     7.7, ,     8.9, ,     9.7, ,     2.6, ,    -0.9, ,   -12.0, , -9999.9,M, -9999.9,M,   -21.9, ,    -5.2, ,     8.8, ,    -3.4, 
 1939,   -26.4, ,   -29.7, ,   -22.5, ,    -9.6, ,     0.8, ,     7.3, ,     8.9, ,     8.2, ,     3.3, ,    -3.4, ,   -11.1, ,   -12.3, ,    -7.2, , -9999.9,M,   -10.4, ,     8.1, ,    -3.7, 
 1940,   -24.9, ,   -23.6, ,   -21.4, ,    -7.9, ,     2.6, ,     7.0, ,    10.3, ,     8.9, ,     5.3, ,    -1.5, ,   -10.3, ,   -17.9, ,    -6.1, ,   -20.3, ,    -8.9, ,     8.7, ,    -2.2, 
 1941,   -28.2, ,   -23.9, ,   -20.9, ,    -4.5, ,     3.7, ,     8.3, ,    10.1, ,     7.1, ,     6.3, ,    -1.4, ,    -8.6, ,   -18.2, ,    -5.9, ,   -23.3, ,    -7.2, ,     8.5, ,    -1.2, 
 1942,   -26.2, ,   -21.5, ,   -14.3, ,    -3.2, ,     2.2, ,     7.6, ,     7.8, ,     7.1, ,     3.0, ,    -2.6, ,   -10.9, ,   -25.2, ,    -6.4, ,   -22.0, ,    -5.1, ,     7.5, ,    -3.5, 
 1943,   -28.0, , -9999.9,M, -9999.9,M,   -10.0, ,     0.6, ,     7.5, ,     9.7, ,     7.9, ,     1.7, ,    -3.7, ,   -10.0, ,   -23.5, , -9999.9,M, -9999.9,M, -9999.9,M,     8.4, ,    -4.0, 
 1944,   -15.6, ,   -25.1, , -9999.9,M,   -10.1, ,     2.8, ,     6.3, ,     9.6, ,     7.3, ,     3.3, ,    -2.9, ,    -7.0, ,   -19.7, , -9999.9,M,   -21.4, , -9999.9,M,     7.7, ,    -2.2, 
 1945,   -30.5, ,   -23.0, ,   -11.7, ,    -5.9, ,    -1.1, ,     5.4, ,     7.3, ,     7.1, ,     2.1, ,    -2.3, ,   -10.7, ,   -23.7, ,    -7.3, ,   -24.4, ,    -6.2, ,     6.6, ,    -3.6, 
 1946,   -23.6, , -9999.9,M,    -9.8, ,    -6.5, ,     0.2, ,     5.3, ,     7.7, ,     5.3, ,     2.8, ,     0.1, ,   -11.0, ,   -17.5, , -9999.9,M, -9999.9,M,    -5.4, ,     6.1, ,    -2.7, 
 1947,   -20.0, ,   -18.7, ,   -15.2, ,   -10.3, ,    -2.9, ,     4.8, ,     9.0, ,    10.0, ,     4.5, ,     0.5, ,   -13.1, ,   -25.2, ,    -6.4, ,   -18.7, ,    -9.5, ,     7.9, ,    -2.7, 
 1948,   -31.7, ,   -30.1, ,   -25.1, ,    -4.9, ,    -2.4, ,     3.2, ,     6.5, ,     5.6, ,     3.4, ,    -2.1, ,    -2.6, ,   -14.4, ,    -7.9, ,   -29.0, ,   -10.8, ,     5.1, ,    -0.4, 
 1949,   -22.4, ,   -22.4, ,   -18.7, ,    -5.8, ,     1.0, ,     9.2, ,    10.2, ,     8.4, ,     3.7, ,    -0.1, ,   -10.3, ,   -17.5, ,    -5.4, ,   -19.7, ,    -7.8, ,     9.3, ,    -2.2, 
