8105200,SUSSEX         ,NB, station not joined, Monthly mean of homogenized daily maximum temperature                  , Deg Celcius,          Updated to December 2017
8105200,SUSSEX         ,NB, station non jointe, Moyenne mensuelle des temperatures quotidiennes maximales homogeneisees, Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1897, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.5,a,     4.2,a,     0.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1898, -9999.9,M,    -0.9,a,     5.6,a,     7.7,a,    16.9,a,    20.1,a,    24.4,a,    23.1,a,    18.4,a,    12.6,a,     6.0,a,    -2.0,a, -9999.9,M, -9999.9,M,    10.1,a,    22.5,a,    12.3,a
 1899,    -4.1,a,    -5.1,a,     0.1,a,    10.1,a,    15.6,a,    20.3,a,    22.4,a,    23.2,a,    17.6,a,    12.5,a,     3.2,a,     0.0,a,     9.7,a,    -3.7,a,     8.6,a,    22.0,a,    11.1,a
 1900,    -1.9,a,    -2.6,a,     0.2,a,     8.6,a,    13.9,a,    21.3,a,    23.8,a,    22.8,a,    18.6,a,    13.3,a,     4.9,a,    -3.9,a,     9.9,a,    -1.5,a,     7.6,a,    22.6,a,    12.3,a
 1901,    -5.1,a,    -4.4,a,     1.7,a,    10.8,a,    16.7,a,    22.4,a,    25.3,a,    24.0,a,    19.8,a,    13.1,a,     3.8,a,     0.2,a,    10.7,a,    -4.5,a,     9.7,a,    23.9,a,    12.2,a
 1902,    -3.2,a,    -2.0,a,     5.4,a,    10.2,a,    14.6,a,    18.2,a,    23.3,a,    22.2,a,    19.6,a,    12.1,a,     6.3,a,    -3.9,a,    10.2,a,    -1.7,a,    10.1,a,    21.2,a,    12.7,a
 1903,    -4.1,a,    -3.7,a,     4.7,a,     8.3,a,    15.9,a,    19.6,a,    22.6,a,    20.3,a,    19.2,a,    10.5,a,     3.9,a,    -3.7,a,     9.5,a,    -3.9,a,     9.6,a,    20.8,a,    11.2,a
 1904,    -9.1,a,    -8.2,a,     0.0,a,     7.2,a,    16.6,a,    19.2,a,    24.1,a,    21.2,a,    16.3,a,    10.8,a,     1.9,a,    -5.9,a,     7.8,a,    -7.0,a,     7.9,a,    21.5,a,     9.7,a
 1905,    -8.1,a,    -5.8,a,     0.8,a,     7.7,a,    14.5,a,    17.2,a,    24.4,a,    21.9,a,    17.3,a,    14.2,a,     4.9,a,    -2.6,a,     8.9,a,    -6.6,a,     7.7,a,    21.2,a,    12.1,a
 1906,    -0.9,a,    -0.6,a,    -2.1,a,     6.7,a,    12.9,a,    20.5,a,    24.8,a,    25.3,a,    16.7,a,    12.9,a,     3.9,a,    -4.1,a,     9.7,a,    -1.4,a,     5.8,a,    23.5,a,    11.2,a
 1907,    -6.9,a,    -8.1,a,    -0.3,a,     4.8,a,    11.3,a,    20.2,a,    22.6,a,    21.2,a,    17.5,a,     8.8,a,     6.4,a,     0.1,a,     8.1,a,    -6.4,a,     5.3,a,    21.3,a,    10.9,a
 1908,    -3.1,a,    -4.7,a,    -1.9,a,     3.1,a,    15.3,a,    22.4,a,    25.6,a,    22.0,a,    21.1,a,    13.7,a,     3.7,a,    -2.7,a,     9.5,a,    -2.6,a,     5.5,a,    23.3,a,    12.8,a
 1909,    -4.8,a,    -4.6,a,     1.6,a,     5.6,a,    13.8,a,    20.3,a,    23.2,a,    23.4,a,    18.4,a,    12.4,a,     5.8,a,    -2.5,a,     9.4,a,    -4.0,a,     7.0,a,    22.3,a,    12.2,a
 1910,    -0.9,a,    -2.6,a,     2.4,a,    11.0,a,    16.0,a,    18.9,a,    24.2,a,    21.7,a,    17.3,a,    12.3,a,     5.2,a,    -2.1,a,    10.3,a,    -2.0,a,     9.8,a,    21.6,a,    11.6,a
 1911,    -1.5,a,    -3.5,a,     1.9,a,     9.5,a,    20.1,a,    21.7,a,    27.0,a,    23.4,a,    16.4,a,    12.4,a,     6.2,a,     1.0,a,    11.2,a,    -2.4,a,    10.5,a,    24.0,a,    11.7,a
 1912,    -6.2,a,    -3.0,a,     3.0,a,     9.7,a,    17.7,a,    20.2,a,    24.0,a,    20.3,a,    18.6,a,    13.2,a,     6.4,a,     2.5,a,    10.5,a,    -2.7,a,    10.1,a,    21.5,a,    12.7,a
 1913,     1.8,a,    -4.1,a,     5.2,a,    11.3,a,    12.7,a,    19.0,a,    23.6,a,    22.1,a,    16.8,a,    15.4,a,     8.1,a,     1.8,a,    11.1,a,     0.1,a,     9.7,a,    21.6,a,    13.4,a
 1914,    -3.8,a,    -5.3,a,     3.1,a,     7.8,a,    18.0,a,    19.7,a,    23.0,a,    22.4,a,    20.7,a,    14.7,a,     6.8,a,    -1.4,a,    10.5,a,    -2.4,a,     9.6,a,    21.7,a,    14.1,a
 1915,     0.2,a,     0.8,a,     1.8,a,     8.8,a,    13.9,a,    20.0,a,    23.8,a,    22.6,a,    19.0,a,    13.1,a,     5.9,a,     0.9,a,    10.9,a,    -0.1,a,     8.2,a,    22.1,a,    12.7,a
 1916,    -2.0,a,    -3.5,a,    -0.7,a,     9.2,a,    15.7,a,    20.5,a,    24.1,a,    23.4,a,    19.0,a,    13.8,a,     4.1,a,    -1.1,a,    10.2,a,    -1.5,a,     8.1,a,    22.7,a,    12.3,a
 1917,    -4.1,a,    -4.0,a,     1.7,a,     7.3,a,     9.4,a,    19.6,a,    24.0,a,    24.2,a,    17.8,a,    11.9,a,     1.9,a,    -4.6,a,     8.8,a,    -3.1,a,     6.1,a,    22.6,a,    10.5,a
 1918,    -6.4,a,    -4.4,a,    -0.6,a,     9.5,a,    16.8,a,    19.4,a,    22.5,a,    21.0,a,    18.3,a,    11.4,a,     4.8,a,    -1.1,a,     9.3,a,    -5.1,a,     8.6,a,    21.0,a,    11.5,a
 1919,    -2.4,a,    -1.0,a,     3.4,a,     7.5,a,    14.4,a,    20.9,a,    22.7,a,    20.7,a,    16.8,a,    10.0,a,     5.4,a,    -3.9,a,     9.5,a,    -1.5,a,     8.4,a,    21.4,a,    10.7,a
 1920,    -9.2,a,    -3.0,a,     2.8,a,     7.8,a,    16.0,a,    20.5,a,    23.0,a,    23.9,a,    18.2,a,    15.0,a,     4.0,a,    -0.2,a,     9.9,a,    -5.4,a,     8.9,a,    22.5,a,    12.4,a
 1921,    -1.9,a,    -2.6,a,     5.9,a,    12.5,a,    17.4,a,    20.2,a,    26.5,a,    21.4,a,    20.1,a,    13.5,a,     2.7,a,    -2.6,a,    11.1,a,    -1.6,a,    11.9,a,    22.7,a,    12.1,a
 1922,    -5.6,a,    -3.7,a,     3.9,a,     8.8,a,    16.7,a,    22.3,a,    22.4,a,    21.8,a,    16.9,a,    13.0,a,     4.1,a,    -3.2,a,     9.8,a,    -4.0,a,     9.8,a,    22.2,a,    11.3,a
 1923,    -5.3,a,    -8.5,a,    -2.8,a,     7.2,a,    13.7,a,    19.9,a,    21.4,a,    20.9,a,    17.6,a,    14.2,a,     7.4,a,     1.8,a,     9.0,a,    -5.7,a,     6.0,a,    20.7,a,    13.1,a
 1924,    -3.7,a,    -5.4,a,     2.1,a,     6.3,a,    14.3,a,    20.4,a,    25.0,a,    23.2,a,    17.9,a,    12.5,a,     6.8,a,    -4.1,a,     9.6,a,    -2.4,a,     7.6,a,    22.9,a,    12.4,a
 1925,    -8.7,a,     1.0,a,     5.5,a,     8.6,a,    13.5,a,    20.8,a,    23.5,a,    23.3,a,    16.2,a,     8.2,a,     5.8,a,    -1.8,a,     9.7,a,    -3.9,a,     9.2,a,    22.5,a,    10.1,a
 1926,    -4.5,a,    -4.6,a,    -0.5,a,     5.6,a,    13.7,a,    20.6,a,    23.7,a,    21.3,a,    17.9,a,    12.1,a,     7.4,a,    -2.9,a,     9.2,a,    -3.6,a,     6.3,a,    21.9,a,    12.5,a
 1927,    -0.6,a,    -3.4,a,     3.5,a,     9.9,a,    14.6,a,    19.8,a,    24.1,a,    22.5,a,    18.6,a,    13.3,a,     8.7,a,     1.2,a,    11.0,a,    -2.3,a,     9.3,a,    22.1,a,    13.5,a
 1928,    -2.2,a,    -1.9,a,     2.8,a,     9.9,a,    17.2,a,    21.0,a,    24.7,a,    23.1,a,    16.8,a,    12.2,a,     4.5,a,     0.9,a,    10.8,a,    -1.0,a,    10.0,a,    22.9,a,    11.2,a
 1929,    -2.3,a,    -2.3,a,     3.3,a,     9.2,a,    16.2,a,    21.0,a,    23.9,a,    22.0,a,    20.1,a,    13.0,a,     6.7,a,    -2.9,a,    10.7,a,    -1.2,a,     9.6,a,    22.3,a,    13.3,a
 1930,    -2.5,a,    -1.6,a,     3.4,a,     9.7,a,    16.9,a,    26.1,a,    24.8,a,    23.6,a,    20.2,a,    14.0,a,     7.9,a,    -2.1,a,    11.7,a,    -2.3,a,    10.0,a,    24.8,a,    14.0,a
 1931,    -3.5,a,    -1.5,a,     3.5,a,    11.1,a,    16.5,a,    20.0,a,    24.7,a,    24.0,a,    17.5,a,    15.1,a,    10.3,a,     0.3,a,    11.5,a,    -2.4,a,    10.4,a,    22.9,a,    14.3,a
 1932,     0.9,a,    -3.9,a,     1.9,a,     9.3,a,    17.7,a,    22.4,a,    23.2,a,    25.1,a,    20.3,a,    14.5,a,     6.7,a,     2.1,a,    11.7,a,    -0.9,a,     9.6,a,    23.6,a,    13.8,a
 1933,     0.9,a,     0.6,a,     1.5,a,     9.5,a,    17.7,a,    22.8,a,    25.3,a,    24.5,a,    19.3,a,    13.4,a,     2.4,a,    -6.5,a,    11.0,a,     1.2,a,     9.6,a,    24.2,a,    11.7,a
 1934,    -5.0,a,    -6.5,a,     2.5,a,    11.1,a,    17.7,a,    21.3,a,    26.2,a,    22.4,a,    22.1,a,    11.5,a,     7.1,a,    -3.0,a,    10.6,a,    -6.0,a,    10.4,a,    23.3,a,    13.6,a
 1935,    -5.6,a,    -3.8,a,     2.0,a,     9.0,a,    16.3,a,    23.1,a,    26.2,a,    25.8,a,    17.7,a,    14.2,a,     8.2,a,    -3.0,a,    10.8,a,    -4.1,a,     9.1,a,    25.0,a,    13.4,a
