" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1957" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -13.1" "   -24.3" " NA" " NA" " NA" " NA" " NA" " NA"
"1958" " NA" "   -25.9" "   -23.6" "   -23.8" "    -8.4" " NA" "     3.1" "    -0.3" " NA" "   -10.4" "   -24.4" "   -24.2" " NA" " NA" "   -18.6" " NA" " NA"
"1959" "   -21.9" "   -32.1" "   -30.8" "   -19.3" "   -10.9" "    -0.1" "     1.7" "     2.7" "    -2.0" "   -13.9" "   -15.8" "   -22.1" "   -13.7" "   -26.1" "   -20.3" "     1.4" "   -10.6"
"1960" "   -25.9" "   -24.6" "   -28.7" "   -23.0" "   -10.3" "    -3.4" "     4.0" "     1.4" "    -3.8" "    -7.2" "   -15.4" "   -24.8" "   -13.5" "   -24.2" "   -20.7" "     0.7" "    -8.8"
"1961" "   -30.9" "   -32.1" "   -34.5" "   -16.2" "   -13.4" "    -2.2" "     2.7" "    -0.5" "    -5.4" "   -11.0" "   -20.6" "   -21.8" "   -15.5" "   -29.3" "   -21.4" "     0.0" "   -12.3"
"1962" "   -28.5" "   -32.1" "   -17.7" "   -19.5" "   -11.8" "    -2.9" "     4.1" "     1.4" "    -3.4" "   -10.1" "   -16.5" "   -23.5" "   -13.4" "   -27.5" "   -16.3" "     0.9" "   -10.0"
"1963" "   -23.4" "   -21.0" "   -28.9" "   -18.6" "   -13.1" "    -5.3" "    -0.4" "     1.5" "    -6.6" "   -11.3" "   -16.1" "   -23.6" "   -13.9" "   -22.6" "   -20.2" "    -1.4" "   -11.3"
"1964" "   -29.4" "   -26.8" "   -32.6" "   -20.7" "   -12.7" "    -3.8" "    -0.2" "     0.4" "    -2.0" "   -11.5" "   -19.3" "   -23.3" "   -15.2" "   -26.6" "   -22.0" "    -1.2" "   -10.9"
"1965" "   -27.9" "   -26.5" "   -25.6" "   -20.8" "    -4.6" "    -3.4" "     2.3" "    -1.1" "    -3.9" "   -12.1" "   -16.8" "   -24.0" "   -13.7" "   -25.9" "   -17.0" "    -0.7" "   -10.9"
"1966" "   -27.5" "   -24.1" "   -26.7" "   -18.7" "   -12.7" "    -4.2" "     0.6" "     5.9" "    -3.1" "    -6.6" "   -16.5" "   -23.5" "   -13.1" "   -25.2" "   -19.4" "     0.8" "    -8.7"
"1967" "   -24.6" "   -31.0" "   -26.0" "   -22.0" "    -6.1" "    -4.4" "     3.1" "     0.0" "    -5.7" "   -10.9" "   -20.4" "   -21.3" "   -14.1" "   -26.4" "   -18.0" "    -0.4" "   -12.3"
"1968" "   -28.2" "   -28.6" "   -28.2" "   -15.3" "   -10.0" "    -3.1" "     0.7" "    -1.3" "    -2.9" "    -6.3" "   -15.2" "   -21.9" "   -13.4" "   -26.0" "   -17.8" "    -1.2" "    -8.1"
"1969" "   -21.0" "   -19.1" "   -28.0" "   -23.2" "    -9.8" "    -3.8" "     2.0" "     2.4" "    -5.5" "    -9.6" "   -17.3" "   -21.5" "   -12.9" "   -20.7" "   -20.3" "     0.2" "   -10.8"
"1970" "   -29.3" "   -26.8" "   -25.7" "   -22.1" "   -14.7" "    -4.8" "    -1.5" "    -1.2" "    -4.8" "    -8.1" "   -16.0" "   -25.9" "   -15.1" "   -25.9" "   -20.8" "    -2.5" "    -9.6"
"1971" "   -27.5" "   -30.2" "   -22.7" "   -21.2" "   -12.0" "    -3.1" "     2.7" "    -0.3" "    -4.5" "   -10.1" "   -19.0" "   -29.6" "   -14.8" "   -27.9" "   -18.6" "    -0.2" "   -11.2"
"1972" "   -32.6" "   -30.7" "   -29.4" "   -20.1" "   -12.1" "    -7.6" "    -1.6" "    -2.2" "    -5.8" "   -13.2" "   -20.6" "   -28.5" "   -17.0" "   -31.0" "   -20.5" "    -3.8" "   -13.2"
"1973" "   -26.6" "   -31.5" "   -27.4" "   -21.5" "   -11.7" "    -5.3" "    -0.9" "     1.5" "    -4.2" "    -8.4" "   -12.6" "   -23.7" "   -14.4" "   -28.9" "   -20.2" "    -1.6" "    -8.4"
"1974" "   -28.2" "   -27.0" "   -28.0" "   -21.8" "    -9.5" "    -1.8" "     2.6" "     1.3" "    -4.8" "    -9.4" "   -18.7" "   -28.8" "   -14.5" "   -26.3" "   -19.8" "     0.7" "   -11.0"
"1975" "   -31.0" "   -27.8" "   -29.5" "   -21.2" "    -9.6" "     0.6" "     2.5" "     2.5" "    -4.7" "    -8.8" "   -19.4" "   -25.6" "   -14.3" "   -29.2" "   -20.1" "     1.9" "   -11.0"
"1976" "   -26.0" "   -30.0" "   -26.9" "   -19.6" "   -10.7" "    -3.3" "    -0.1" "    -2.0" "    -3.9" "   -11.1" "   -19.3" "   -22.2" "   -14.6" "   -27.2" "   -19.1" "    -1.8" "   -11.4"
"1977" "   -18.4" "   -26.9" "   -22.8" "   -17.8" "   -10.4" "    -3.3" "     2.0" "     1.2" "    -5.2" "   -11.4" "   -16.9" "   -27.6" "   -13.1" "   -22.5" "   -17.0" "     0.0" "   -11.2"
"1978" "   -27.9" "   -25.0" "   -29.7" "   -21.5" "   -11.4" "    -5.9" "    -0.1" "     0.0" "    -6.1" "   -13.1" "   -23.3" "   -17.5" "   -15.1" "   -26.8" "   -20.9" "    -2.0" "   -14.2"
"1979" "   -22.5" "   -33.8" "   -25.1" "   -16.6" "   -11.4" "    -4.6" "     0.8" "    -0.1" "    -4.6" "    -9.8" "   -19.1" "   -25.4" "   -14.4" "   -24.6" "   -17.7" "    -1.3" "   -11.2"
"1980" "   -21.0" "   -24.6" "   -23.0" "   -21.5" "    -7.7" "    -3.6" "     3.0" "     2.5" "    -3.6" "    -9.6" "   -15.8" "   -24.8" "   -12.5" "   -23.7" "   -17.4" "     0.6" "    -9.7"
"1981" "   -25.5" "   -29.4" "   -20.8" "   -19.8" "   -12.0" "    -3.1" "     1.1" "     1.0" "    -3.3" "    -9.6" "   -14.8" "   -21.0" "   -13.1" "   -26.6" "   -17.5" "    -0.3" "    -9.2"
"1982" "   -23.8" "   -29.4" "   -28.3" "   -21.8" "   -12.4" "    -0.6" "     1.6" "    -1.2" "    -5.6" "   -10.2" "   -18.0" "   -27.6" "   -14.8" "   -24.7" "   -20.8" "    -0.1" "   -11.3"
