"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1929" " NA" " NA" " NA" " NA" " NA" "    10.8" " NA" " NA" "    10.5" "     4.8" "    -2.2" "   -10.7" " NA" " NA" " NA" " NA" "     4.4"
"1930" "   -15.8" "   -15.3" "    -6.3" "    -1.2" "     3.8" "    14.2" "    15.0" "    13.6" "    10.4" "     5.1" "    -1.9" "    -7.7" "     1.2" "   -13.9" "    -1.2" "    14.3" "     4.5"
"1931" "   -12.8" "   -10.1" "    -3.0" "    -0.2" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -10.2" " NA" " NA" " NA"
"1932" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1933" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1934" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1935" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1936" " NA" " NA" " NA" " NA" "     5.3" "    11.0" "    13.0" "    12.8" "     9.0" "     3.2" "    -3.4" "    -8.8" " NA" " NA" " NA" "    12.3" "     2.9"
"1937" "   -12.0" "   -10.5" "    -8.1" "    -1.5" "     5.2" "    10.4" "    13.6" "    15.8" "    10.5" "     3.8" "    -1.8" "    -7.4" "     1.5" "   -10.4" "    -1.5" "    13.3" "     4.2"
"1938" "   -13.9" "   -15.2" "   -10.7" "    -1.4" "     4.2" "    12.2" "    15.3" "    15.7" "    10.7" "     5.8" "    -0.9" "    -6.1" "     1.3" "   -12.2" "    -2.6" "    14.4" "     5.2"
"1939" "   -12.8" "   -14.3" "   -11.3" "    -2.8" "     2.3" "     8.4" "    15.3" "    15.6" "    10.0" "     4.7" "    -2.3" "    -6.5" "     0.5" "   -11.1" "    -3.9" "    13.1" "     4.1"
"1940" "   -13.8" "   -12.6" "    -7.3" "    -2.2" "     4.7" "     9.4" "    14.6" "    13.2" "    10.9" "     3.0" "    -1.3" "   -10.8" "     0.7" "   -11.0" "    -1.6" "    12.4" "     4.2"
"1941" "   -13.1" "   -11.2" "    -9.1" "    -1.8" "     3.4" "     8.5" "    14.8" "    12.0" "     8.1" "     3.1" "    -0.7" "    -6.8" "     0.6" "   -11.7" "    -2.5" "    11.8" "     3.5"
"1942" "   -14.2" "   -12.1" "    -4.9" "    -1.1" "     6.4" "    10.9" "    14.5" "    14.4" "    10.8" "     5.7" "    -1.5" "   -11.0" "     1.5" "   -11.0" "     0.1" "    13.3" "     5.0"
