2402350,HALL BEACH A                              ,NU  , monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956, 1017.6, , 1009.4, , 1012.3, , 1017.7, , 1009.6, , 1015.7, , 1012.2, , 1009.5, , 1008.1, , 1007.3, , 1009.1, , 1005.9, , 1011.2, , 1013.5, , 1013.2, , 1012.5, , 1008.2,  
1957, 1002.3, , 1017.4, , 1019.6, , 1018.3, , 1017.9, ,-9999.9,M,-9999.9,M, 1007.8, , 1007.9, , 1005.6, , 1012.3, , 1011.6, , 1012.1, , 1008.5, , 1018.6, ,-9999.9,M, 1008.6,  
1958, 1013.9, , 1016.1, , 1029.5, , 1016.7, , 1012.6, , 1013.3, , 1008.1, , 1016.3, , 1011.5, , 1011.9, , 1010.7, , 1013.1, , 1014.5, , 1013.9, , 1019.6, , 1012.5, , 1011.4,  
1959, 1012.0, , 1001.2, , 1016.1, , 1019.3, , 1017.1, , 1014.7, , 1005.4, , 1011.6, , 1009.0, , 1010.9, , 1014.2, , 1012.2, , 1012.0, , 1008.7, , 1017.5, , 1010.5, , 1011.4,  
1960, 1017.4, , 1022.5, , 1021.1, , 1022.1, , 1020.3, , 1014.6, , 1009.9, , 1009.1, , 1010.8, , 1011.5, , 1009.3, , 1007.5, , 1014.7, , 1017.4, , 1021.2, , 1011.2, , 1010.5,  
1961, 1013.7, , 1013.8, , 1021.8, , 1023.4, , 1017.0, , 1010.2, , 1014.1, , 1001.4, , 1008.4, , 1012.0, , 1017.3, , 1020.7, , 1014.5, , 1011.7, , 1020.7, , 1008.5, , 1012.6,  
1962, 1006.0, , 1017.1, , 1030.1, , 1015.2, , 1018.3, , 1014.0, , 1014.4, , 1009.4, , 1009.9, , 1011.9, , 1011.1, , 1007.9, , 1013.8, , 1014.6, , 1021.2, , 1012.6, , 1010.9,  
1963, 1008.7, , 1011.2, , 1014.2, , 1020.4, , 1011.5, , 1016.8, , 1012.0, , 1009.7, , 1007.3, , 1005.4, , 1014.0, , 1010.2, , 1011.8, , 1009.3, , 1015.3, , 1012.8, , 1008.9,  
1964, 1007.9, , 1003.6, , 1015.5, , 1016.9, , 1020.0, , 1007.2, , 1008.3, , 1016.1, , 1008.0, , 1012.8, , 1013.1, , 1009.4, , 1011.6, , 1007.2, , 1017.5, , 1010.6, , 1011.3,  
1965, 1010.0, , 1008.7, , 1020.8, , 1016.4, , 1011.2, , 1014.1, , 1012.1, , 1005.4, , 1007.5, , 1006.6, , 1017.6, , 1013.2, , 1012.0, , 1009.4, , 1016.1, , 1010.5, , 1010.6,  
1966, 1025.3, , 1011.5, , 1021.7, , 1022.7, , 1020.7, , 1008.8, , 1009.4, , 1013.6, , 1008.3, , 1008.5, , 1008.0, , 1018.7, , 1014.8, , 1016.7, , 1021.7, , 1010.6, , 1008.3,  
1967, 1012.7, , 1006.2, , 1008.3, , 1014.2, , 1014.2, , 1007.4, , 1010.0, , 1003.3, , 1003.3, , 1012.4, , 1009.7, , 1015.3, , 1009.7, , 1012.5, , 1012.2, , 1006.9, , 1008.5,  
1968, 1017.7, , 1017.0, , 1011.8, , 1012.7, , 1021.0, , 1012.1, , 1007.6, , 1011.4, , 1016.1, , 1015.5, , 1013.3, , 1016.4, , 1014.4, , 1016.7, , 1015.2, , 1010.4, , 1015.0,  
1969, 1021.9, , 1019.4, , 1018.2, , 1018.3, , 1012.6, , 1009.9, , 1012.4, , 1013.4, , 1011.9, , 1006.8, , 1009.3, , 1018.2, , 1014.4, , 1019.2, , 1016.4, , 1011.9, , 1009.3,  
1970, 1014.4, , 1007.0, , 1022.3, , 1022.5, , 1016.5, , 1007.0, , 1009.1, , 1010.9, , 1006.2, , 1014.1, , 1009.2, , 1018.8, , 1013.2, , 1013.2, , 1020.4, , 1009.0, , 1009.8,  
1971, 1013.5, , 1013.2, , 1021.1, , 1021.7, , 1010.2, , 1018.3, , 1010.0, , 1007.2, , 1008.3, , 1008.8, , 1015.3, , 1015.1, , 1013.6, , 1015.2, , 1017.7, , 1011.8, , 1010.8,  
1972, 1005.7, , 1011.6, , 1016.2, , 1019.8, , 1016.9, , 1012.9, , 1012.3, , 1009.5, , 1007.6, , 1004.0, , 1012.3, , 1011.2, , 1011.7, , 1010.8, , 1017.6, , 1011.6, , 1008.0,  
1973, 1006.3, , 1013.5, , 1015.2, , 1023.4, , 1017.2, , 1014.1, , 1009.5, , 1012.4, , 1006.8, , 1010.8, , 1018.0, , 1016.2, , 1013.6, , 1010.4, , 1018.6, , 1012.0, , 1011.8,  
1974, 1006.7, , 1015.9, , 1011.3, , 1013.6, , 1022.0, , 1013.2, , 1011.8, , 1010.1, , 1004.3, , 1011.4, , 1015.9, , 1017.2, , 1012.8, , 1012.9, , 1015.6, , 1011.7, , 1010.5,  
1975, 1007.9, , 1009.7, , 1017.4, , 1025.1, , 1019.4, , 1015.7, , 1003.2, , 1009.9, , 1009.2, , 1009.9, , 1013.4, , 1010.6, , 1012.6, , 1011.6, , 1020.6, , 1009.6, , 1010.8,  
