DEBUG [2020-03-19 16:13:23] |YEAR_TO_START|  |
DEBUG [2020-03-19 16:13:23] |check city df ------  | 0 |
DEBUG [2020-03-19 16:13:30] |check value------  | min_temp |
DEBUG [2020-03-19 16:13:30] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 16:13:32] |MONTH 1| Jan |
DEBUG [2020-03-19 16:13:32] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 16:13:32] Rdata exists
DEBUG [2020-03-19 16:13:32] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 16:13:32] |MONTH| Jan |
DEBUG [2020-03-19 16:13:32] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 16:13:33] |check city df ------  | 0 |
DEBUG [2020-03-19 16:13:40] |check city df ------  | 1 |
DEBUG [2020-03-19 16:13:40] |PROV_DF | 11.566348530472 ||PROV_DF | -0.013376215073371 |
DEBUG [2020-03-19 16:14:56] |TEMP_VAL |  |
DEBUG [2020-03-19 16:14:56] |MONTH|  |
DEBUG [2020-03-19 16:14:56] |YEAR_TO_START|  |
DEBUG [2020-03-19 16:14:56] |check city df ------  | 0 |
DEBUG [2020-03-19 16:14:57] |check value------  | min_temp |
DEBUG [2020-03-19 16:14:57] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 16:14:59] |MONTH 1| Jan |
DEBUG [2020-03-19 16:14:59] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 16:14:59] Rdata exists
DEBUG [2020-03-19 16:14:59] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 16:14:59] |MONTH| Jan |
DEBUG [2020-03-19 16:14:59] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 16:15:00] |check city df ------  | 0 |
DEBUG [2020-03-19 16:15:04] |check city df ------  | 1 |
DEBUG [2020-03-19 16:15:04] |OUTPUT_PROV_DF | 1:13 ||OUTPUT_PROV_DF | c(-39.6607641996575, -169.286838234511, -175.270651029032, -193.524822479651, -57.7909766842435, 63.5976537407073, 89.0970018126693, 11.566348530472, -58.974446019138, -26.631176306925, -30.1346789278345, -57.5064962414171, -107.636372492144) ||OUTPUT_PROV_DF | c(0.0173110095046679, 0.0725578582828269, 0.0735515417099137, 0.0802038306166601, 0.0216779364544438, -0.0411702349375152, -0.0550663475337793, -0.013376215073371, 0.0206300437729532, 0.00627401993513464, 0.0107732180633409, 0.0233276125838419, 0.0462396776063712) ||OUTPUT_PROV_DF | c(0.000788633264813841, 0.0165710901439862, 0.0232781212151937, 0.0315318711903871, 0.00214173454340889, 0.006453352944627, 0.0113896928077007, 0.000467357553650776, 0.00153300788147264, 0.000350574033107524, 0.00126786193856368, 0.00904803399568687, 0.00555582260324227) ||OUTPUT_PROV_DF | c(0.044733546379313, 0.129011806152373, 0.117640268124887, 0.111526384400907, 0.0471866487346861, -0.0125588527682673, -0.0203846471668732, 0.0165207752321916, 0.0471804254598209, 0.0400663364491089, 0.0388164808282603, 0.0790897529596306, 0.0941457312736472) ||OUTPUT_PROV_DF | c(-0.0101115273699772, 0.0161039104132808, 0.0294628152949406, 0.0488812768324134, -0.00383077582579854, -0.069781617106763, -0.0897480479006853, -0.0432732053789336, -0.00592033791391449, -0.0275182965788397, -0.0172700447015785, -0.0324345277919468, -0.00166637606090467) ||OUTPUT_PROV_DF | c(0.000195513989682461, 0.000824368884891148, 0.000503303568547636, 0.000254603336333857, 0.000169071080061977, 0.000212679177407882, 0.000312218110642056, 0.000232338190357792, 0.000183210641574763, 0.000295376654995353, 0.000203620556921831, 0.000784197359918205, 0.000595183195619231) ||OUTPUT_PROV_DF | c(1944, 381, 453, 778, 1297, 1229, 845, 1649, 1515, 382, 451, 78, 645) |
DEBUG [2020-03-19 16:15:04] |PROV_DF | 11.566348530472 ||PROV_DF | -0.013376215073371 |
DEBUG [2020-03-19 16:22:47] |TEMP_VAL |  |
DEBUG [2020-03-19 16:22:47] |MONTH|  |
DEBUG [2020-03-19 16:22:47] |YEAR_TO_START|  |
DEBUG [2020-03-19 16:22:47] |check city df ------  | 0 |
DEBUG [2020-03-19 16:22:48] |check value------  | min_temp |
DEBUG [2020-03-19 16:22:48] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 16:22:49] |MONTH 1| Jan |
DEBUG [2020-03-19 16:22:49] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 16:22:49] Rdata exists
DEBUG [2020-03-19 16:22:49] |TEMP_VAL | min_temp |
DEBUG [2020-03-19 16:22:49] |MONTH| Jan |
DEBUG [2020-03-19 16:22:49] |YEAR_TO_START| 1980 |
DEBUG [2020-03-19 16:22:50] |check city df ------  | 0 |
DEBUG [2020-03-19 16:22:55] |check city df ------  | 1 |
DEBUG [2020-03-19 16:22:55] |OUTPUT_PROV_DF | 1:13 ||OUTPUT_PROV_DF | c(-39.6607641996575, -169.286838234511, -175.270651029032, -193.524822479651, -57.7909766842435, 63.5976537407073, 89.0970018126693, 11.566348530472, -58.974446019138, -26.631176306925, -30.1346789278345, -57.5064962414171, -107.636372492144) ||OUTPUT_PROV_DF | c(0.0173110095046679, 0.0725578582828269, 0.0735515417099137, 0.0802038306166601, 0.0216779364544438, -0.0411702349375152, -0.0550663475337793, -0.013376215073371, 0.0206300437729532, 0.00627401993513464, 0.0107732180633409, 0.0233276125838419, 0.0462396776063712) ||OUTPUT_PROV_DF | c(0.000788633264813841, 0.0165710901439862, 0.0232781212151937, 0.0315318711903871, 0.00214173454340889, 0.006453352944627, 0.0113896928077007, 0.000467357553650776, 0.00153300788147264, 0.000350574033107524, 0.00126786193856368, 0.00904803399568687, 0.00555582260324227) ||OUTPUT_PROV_DF | c(0.044733546379313, 0.129011806152373, 0.117640268124887, 0.111526384400907, 0.0471866487346861, -0.0125588527682673, -0.0203846471668732, 0.0165207752321916, 0.0471804254598209, 0.0400663364491089, 0.0388164808282603, 0.0790897529596306, 0.0941457312736472) ||OUTPUT_PROV_DF | c(-0.0101115273699772, 0.0161039104132808, 0.0294628152949406, 0.0488812768324134, -0.00383077582579854, -0.069781617106763, -0.0897480479006853, -0.0432732053789336, -0.00592033791391449, -0.0275182965788397, -0.0172700447015785, -0.0324345277919468, -0.00166637606090467) ||OUTPUT_PROV_DF | c(0.000195513989682461, 0.000824368884891148, 0.000503303568547636, 0.000254603336333857, 0.000169071080061977, 0.000212679177407882, 0.000312218110642056, 0.000232338190357792, 0.000183210641574763, 0.000295376654995353, 0.000203620556921831, 0.000784197359918205, 0.000595183195619231) ||OUTPUT_PROV_DF | c(1944, 381, 453, 778, 1297, 1229, 845, 1649, 1515, 382, 451, 78, 645) |
DEBUG [2020-03-19 16:22:55] |PROV_DF | 11.566348530472 ||PROV_DF | -0.013376215073371 |
DEBUG [2020-03-19 16:24:09] |TEMP_VAL |  |
DEBUG [2020-03-19 16:24:09] |MONTH|  |
DEBUG [2020-03-19 16:24:09] |YEAR_TO_START|  |
DEBUG [2020-03-19 16:24:09] |check city df ------  | 0 |
DEBUG [2020-03-19 16:24:12] |check value------  | min_temp |
DEBUG [2020-03-19 16:24:13] |TEMP_VAL 1| min_temp |
DEBUG [2020-03-19 16:24:14] |MONTH 1| Jan |
DEBUG [2020-03-19 16:24:14] |YEAR_TO_START 1| 1980 |
DEBUG [2020-03-19 16:24:14] Rdata exists
