6158665,TORONTO ISLAND A                          ,ONT , monthly mean of homogeneous sea level pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M, 1019.9, , 1015.0, , 1019.0, , 1017.5, , 1013.3, , 1014.4, , 1017.8, , 1017.0, , 1020.7, , 1015.1, , 1015.8, , 1016.9, ,-9999.9,M, 1017.2, , 1015.2, , 1017.6,  
1958, 1015.3, , 1010.4, , 1017.0, , 1015.2, , 1015.1, , 1012.6, , 1014.1, , 1012.6, , 1016.2, , 1017.1, , 1014.7, , 1020.5, , 1015.1, , 1013.8, , 1015.7, , 1013.1, , 1016.0,  
1959, 1016.7, , 1018.7, , 1015.8, , 1014.4, , 1018.2, , 1014.0, , 1017.2, , 1014.7, , 1019.3, , 1015.0, , 1016.8, , 1018.6, , 1016.6, , 1018.6, , 1016.1, , 1015.3, , 1017.0,  
1960, 1017.3, , 1013.5, , 1018.3, , 1013.7, , 1011.4, , 1013.8, , 1014.3, , 1016.6, , 1017.5, , 1015.3, , 1015.3, , 1019.7, , 1015.6, , 1016.4, , 1014.5, , 1014.9, , 1016.0,  
1961, 1017.8, , 1019.3, , 1015.3, , 1009.7, , 1016.3, , 1013.4, , 1014.0, , 1017.3, , 1017.7, , 1017.0, , 1018.3, , 1015.4, , 1016.0, , 1018.9, , 1013.7, , 1014.9, , 1017.7,  
1962, 1017.8, , 1018.5, , 1017.8, , 1015.2, , 1016.6, , 1016.5, , 1014.2, , 1015.7, , 1016.7, , 1014.5, , 1020.9, , 1016.0, , 1016.7, , 1017.2, , 1016.5, , 1015.5, , 1017.4,  
1963, 1018.3, , 1016.3, , 1015.2, , 1013.1, , 1017.5, , 1014.1, , 1013.9, , 1014.3, , 1019.8, , 1019.5, , 1013.0, , 1017.3, , 1016.0, , 1016.9, , 1015.3, , 1014.1, , 1017.4,  
1964, 1013.8, , 1012.1, , 1014.2, , 1017.6, , 1015.5, , 1014.8, , 1014.7, , 1014.3, , 1018.2, , 1017.9, , 1017.3, , 1018.5, , 1015.7, , 1014.4, , 1015.7, , 1014.6, , 1017.8,  
1965, 1016.3, , 1015.4, , 1017.1, , 1016.0, , 1016.0, , 1017.2, , 1015.1, , 1013.7, , 1019.2, , 1014.4, , 1015.9, , 1016.0, , 1016.0, , 1016.7, , 1016.4, , 1015.3, , 1016.5,  
1966, 1019.0, , 1021.2, , 1016.1, , 1016.7, , 1016.3, , 1016.5, , 1013.6, , 1014.3, , 1013.9, , 1015.1, , 1017.5, , 1018.0, , 1016.5, , 1018.7, , 1016.4, , 1014.8, , 1015.5,  
1967, 1015.5, , 1016.4, , 1021.1, , 1017.2, , 1015.8, , 1016.4, , 1014.6, , 1017.0, , 1018.5, , 1016.9, , 1013.9, , 1018.8, , 1016.8, , 1016.6, , 1018.0, , 1016.0, , 1016.4,  
1968, 1025.0, , 1012.5, , 1015.9, , 1016.0, , 1014.6, , 1013.1, , 1017.8, , 1016.7, , 1017.4, , 1015.5, , 1013.2, , 1014.6, , 1016.0, , 1018.8, , 1015.5, , 1015.9, , 1015.4,  
1969, 1018.7, , 1018.2, , 1013.8, , 1015.6, , 1015.8, , 1011.8, , 1014.5, , 1014.9, , 1018.0, , 1018.7, , 1014.9, , 1015.5, , 1015.9, , 1017.2, , 1015.1, , 1013.7, , 1017.2,  
1970, 1016.5, , 1017.1, , 1016.0, , 1014.0, , 1017.9, , 1014.7, , 1014.0, , 1014.3, , 1016.2, , 1020.6, , 1015.3, , 1016.0, , 1016.1, , 1016.3, , 1016.0, , 1014.3, , 1017.4,  
1971, 1014.0, , 1013.7, , 1012.5, , 1014.6, , 1013.4, , 1014.9, , 1014.6, , 1016.5, , 1017.7, , 1017.7, , 1016.8, , 1019.2, , 1015.5, , 1014.5, , 1013.5, , 1015.3, , 1017.4,  
1972, 1016.7, , 1016.9, , 1014.5, , 1016.7, , 1016.3, , 1011.4, , 1016.5, , 1015.8, , 1017.5, , 1019.9, , 1017.1, , 1018.1, , 1016.5, , 1017.6, , 1015.8, , 1014.6, , 1018.2,  
1973, 1017.5, , 1022.1, , 1016.3, , 1013.4, , 1010.9, , 1013.5, , 1014.3, , 1015.8, , 1017.8, , 1016.7, , 1015.0, , 1018.3, , 1016.0, , 1019.3, , 1013.6, , 1014.5, , 1016.5,  
1974, 1019.2, , 1015.9, , 1014.9, , 1014.2, , 1013.0, , 1013.2, , 1015.2, , 1017.2, , 1016.5, , 1022.1, , 1015.9, , 1015.7, , 1016.1, , 1017.8, , 1014.0, , 1015.2, , 1018.2,  
1975, 1015.9, , 1015.7, , 1015.0, , 1016.5, , 1014.0, , 1015.2, , 1014.2, , 1017.2, , 1018.4, , 1019.0, , 1016.8, , 1020.5, , 1016.5, , 1015.8, , 1015.2, , 1015.5, , 1018.1,  
